"plot","variety","scorer","yield"
1,"PH207","Jen",162.976229508198
2,"B73","Xu",169.950404177367
3,"B73","Xu",162.405091020708
4,"B73","Jen",169.215702526332
5,"PH207","Xu",157.736064319327
6,"PH207","Amy",159.527814229185
7,"PH207","Amy",162.073825702685
8,"Mo17","Amy",153.076545249755
9,"Mo17","Xu",155.136299323951
10,"Mo17","Jen",154.230087990961
11,"Mo17","Jen",154.227438330701
12,"B73","Amy",166.887897907801
13,"B73","Amy",166.253801107605
14,"B73","Amy",164.835691790815
15,"PH207","Xu",161.975812330262
16,"B73","Amy",164.842278651573
17,"Mo17","Xu",155.37817350274
18,"B73","Xu",165.128745308407
19,"PH207","Xu",163.886863042206
20,"PH207","Xu",163.174436586173
21,"Mo17","Jen",157.340670466068
22,"Mo17","Xu",155.233880298614
23,"B73","Jen",165.377694384322
24,"B73","Jen",163.251035629958
25,"PH207","Amy",164.28146227045
26,"Mo17","Amy",153.446869497961
27,"Mo17","Amy",155.850277955167
28,"PH207","Jen",166.420648218383
29,"Mo17","Jen",153.111041367899
30,"PH207","Jen",157.379456360653
